task_type_id,base,task_name,crop,process,spot_aptitude,qualification_note
junkai.veg,junkai,圃場巡回,veg,圃場準備;定植〜管理,−,
mizohori.veg,mizohori,溝堀り,veg,圃場準備,△,指示が明確なら可能
koun.veg,koun,耕運,veg,圃場準備,−,
hiryo_sanpu.veg,hiryo_sanpu,肥料散布,veg,圃場準備,△,慎重な作業が必要
unetate_mulcher.veg,unetate_mulcher,畝立てマルチャー,veg,圃場準備,−,
mulch_hari.veg,mulch_hari,マルチ張り,veg,圃場準備,◎,初心者可
kansui_souchi.veg,kansui_souchi,潅水装置・潅水,veg,圃場準備,△,設備理解が必要
mainte.veg,mainte,メンテ,veg,圃場準備,−,
jososzai.veg,jososzai,除草剤,veg,圃場準備,−,
noyaku.veg,noyaku,農薬,veg,圃場準備,−,
ikubyo_kansui.veg,ikubyo_kansui,育苗潅水,veg,播種・育苗,○,初心者可（丁寧さ必要）
hachimizu.veg,hachimizu,鉢水,veg,播種・育苗,○,初心者可
teishoku.veg,teishoku,定植,veg,定植〜管理,◎,初心者可（ニーズ高）
kansui.veg,kansui,潅水,veg,定植〜管理,○,初心者可（丁寧な説明が必要）
yuin.veg,yuin,誘引,veg,定植〜管理,△,半経験者向け
mekaki.veg,mekaki,芽かき,veg,定植〜管理,△,半経験者向け
tekiyo.veg,tekiyo,摘葉,veg,定植〜管理,△,半経験者向け
hormone.veg,hormone,ホルモン処理,veg,定植〜管理,−,
tsuihi.veg,tsuihi,追肥,veg,定植〜管理,△,半経験者向け
shukaku.veg,shukaku,収穫,veg,収穫〜出荷,◎,初心者可（最需要業務）
senbetsu.veg,senbetsu,選別,veg,収穫〜出荷,◎,初心者可（簡単なもの）
label_hakozume.veg,label_hakozume,ラベル貼り、箱詰め,veg,収穫〜出荷,◎,初心者可（軽作業）
shukka.veg,shukka,出荷・配達,veg,収穫〜出荷,−,
enchi_shuzen.fruit,enchi_shuzen,園地修繕,fruit,準備・基盤整備,−,
taihi.fruit,taihi,堆肥,fruit,準備・基盤整備,△,力仕事だが、初心者可
hiryo.fruit,hiryo,肥料,fruit,準備・基盤整備,△,慎重な作業が必要
mulch_setchi.fruit,mulch_setchi,マルチ設置,fruit,準備・基盤整備,○,初心者可（丁寧な説明が必要）
sentei.fruit,sentei,剪定,fruit,植栽管理,−,
kaishoku.fruit,kaishoku,改植,fruit,植栽管理,−,
shinshoku.fruit,shinshoku,新植,fruit,植栽管理,△,丁寧な説明必要
naeki_kanri.fruit,naeki_kanri,苗木管理,fruit,植栽管理,△,丁寧な説明必要
kusakari.fruit,kusakari,草刈り,fruit,生育管理,△,刈払機操作は要経験
chukou.fruit,chukou,中耕,fruit,生育管理,−,
tsuihi.fruit,tsuihi,追肥,fruit,生育管理,△,丁寧な説明が必要
noyaku_sanpu.fruit,noyaku_sanpu,農薬散布,fruit,生育管理,−,
kongo_sanpu.fruit,kongo_sanpu,混合散布,fruit,生育管理,−,
jososanpu.fruit,jososanpu,除草剤散布,fruit,生育管理,−,
kansui.fruit,kansui,潅水,fruit,生育管理,○,初心者可（丁寧な説明が必要）
ekihi.fruit,ekihi,液肥,fruit,生育管理,△,半経験者向け
tekka.fruit,tekka,摘果,fruit,生育管理,△,半経験者向け
edatsuri.fruit,edatsuri,枝つり,fruit,生育管理,△,半経験者向け
fukurokake.fruit,fukurokake,袋掛け,fruit,生育管理,△,半経験者向け
junkai.fruit,junkai,巡回,fruit,生育管理,−,
shukaku.fruit,shukaku,収穫,fruit,収穫〜出荷,◎,初心者可（最需要業務）
senbetsu.fruit,senbetsu,選果,fruit,収穫〜出荷,◎,初心者可（簡単なもの）
sonota_keisagyo.fruit,sonota_keisagyo,その他軽作業,fruit,収穫〜出荷,◎,初心者可
seishi.tea,seishi,整枝,tea,基盤整備,−,
daigiri.tea,daigiri,台切,tea,基盤整備,−,
shinko.tea,shinko,深耕,tea,基盤整備,−,
hiryo_sanpu.tea,hiryo_sanpu,肥料散布,tea,基盤整備,△,半経験者向け
shikikusa.tea,shikikusa,敷き草,tea,基盤整備,△,半経験者向け
naeue.tea,naeue,苗の植え付け,tea,基盤整備,△,半経験者向け
chukou.tea,chukou,中耕,tea,生育管理,−,
ekihi.tea,ekihi,液肥,tea,生育管理,△,半経験者向け
kusatori.tea,kusatori,草取り,tea,生育管理,◎,初心者可
noyaku.tea,noyaku,農薬,tea,生育管理,−,
hifuku.tea,hifuku,被覆,tea,生育管理,△,半経験者向け
tsuyuharai.tea,tsuyuharai,露払い,tea,生育管理,△,半経験者向け
junkai.tea,junkai,巡回,tea,生育管理,−,
tekisai.tea,tekisai,摘採(1〜3番茶),tea,摘採・加工,−,
aracha_seizo.tea,aracha_seizo,荒茶製造,tea,摘採・加工,△,工場補助なら可
shiagecha_seizo.tea,shiagecha_seizo,仕上げ茶製造,tea,摘採・加工,−,
kojo_sagyo.tea,kojo_sagyo,工場作業,tea,補助・施設,◎,初心者可（軽作業多い）
boso_fan.tea,boso_fan,防霜ファン点検,tea,補助・施設,−,
jososanpu.tea,jososanpu,除草剤散布,tea,補助・施設,−,
